Catégorie;Projet;Vote positif;Vote négatif;Description
Des espaces verts, des espaces collectifs, des espaces apaisés;521- Créer une piscine naturelle;45;6;"Le projet qui mouille: créer une piscine naturelle

Nous souhaiterions avoir une piscine naturelle pour promouvoir le lien avec la nature tout en disposant d'un espace récréatif. Cet espace pourrait être accompagné de jeux (murs d'escalade, toboggans, etc.)

L'ancienne friche Palmolive ou le parc de la Chartreuse pourrait accueillir cet espace."
Des espaces verts, des espaces collectifs, des espaces apaisés;550 - Rénovation du Boulevard Sainte-Beuve;25;2;Le Boulevard Sainte-Beuve est dans un état déplorable et cela dure depuis des années. A chaque passage on est obligé de slalomer entre les nids de poules pour le traverser. Il y a bel et bien eu des colmatages au fil des années mais en vain. C'est un beau boulevard très emprunté qui mériterait une véritable rénovation.
La mobilité;554 - Stationnement dans les quartiers;27;11;"Le nombre de voitures par maison, l'étroitesse  des artères dans nos vieux quartier, l'incivilité, engendrent danger et périls pour les piétons sur les trottoirs souvent plus larges que nécessaire.
L'utilisation du signal E9f, de plots en bois posés à 1 mètre  des façades permettraient d'optimaliser le stationnement de chaque côté de la chaussée, sans entraver la circulation ni mettre en danger les usagers faibles, piétons, PMR etc."
Ville participative, Collaborative et Numérique;572 - Un festival pour enfants à La Boverie;34;7;"Le Parc de La Boverie accueille déjà l'événeent ""retrouville"" le premier week-end de septembre.
Le site pourrait également accueillir, un peu sur le même principe, un festival annuel plein air pour enfants: en juin, juillet ou août.
Le festival ""Supervlieg/Supermauche"" organisé dans le parc de Forest (Bruxelles) est pour moi un modèle du gendre. Voir le site: http://www.supervliegsupermouche.be/fr/
A noter que son organisation est notamment prise en charge prr le musée d'art contemporain Wiels; suivez mon regard: le musée ""Boverie"" pourrait devenir un partenaire pivot pour l'organisation d'un tel festival (accès des enfants à la culture)."
Des espaces verts, des espaces collectifs, des espaces apaisés;593 - Mise en lumière des escaliers liégeois;147;2;"L'idée c'est d'inventorier les nombreux escaliers liégeois. (Il n'y a pas que la Montagne de Bueren à Liège :) )
Ensuite de les rénover, de bien les éclairer, pour favoriser les déplacements piétons dans la ville, pour garder les quartiers sûrs, vivants et conviviaux.

On pourrait aussi les verdir, les égayer, les rendre singuliers avec la participation des habitants, des écoliers et de créatifs de toutes disciplines. Enfin, créer un évènement annuel qui leur serait consacré.

Indiquez en commentaires les escaliers auxquels vous pensez."
La mobilité;599- Rendre la ville à ses habitants  grâce à des citibus;113;4;Parkings de délestage en banlieue : Coronmeuse, Sclessin, etc pour que les automobilistes y déposent leur voiture et paie modérément le parking, ticket qui leur donnerait le droit à prendre des navettes directes pour le centre.  Cela désengorgerait ce dernier et le ferait revivre ....
La mobilité;600- Emplacements pour garer les vélos;238;3;"À l'heure où l'environnement devient une lutte majeure au niveau international, il est important de trouver des solutions pour que notre chère ville devienne la moins polluée possible.
En encourageant les citoyens à utiliser le vélo, comme c'est le cas avec l'action des vélos électriques, la ville propose déjà une belle solution alternative à la voiture et au bus. Maintenant, je trouve qu'il manque d'emplacements pour garer son vélo. Pour le moment je n'ai vu qu'un petit abri pour vélos aux Guillemins et quelques endroits où il est possible de laisser son vélo en ville. Aménager des espaces plus importants pourrait être très pratique pour ceux qui pourraient être motivés à se déplacer en vélo. Ce que je propose, c'est de mettre plus d'emplacements vélos du côté de la place Saint-Lambert ou place du Marché, de l'Opéra, place Saint-Paul, place du XX août ou place Cockerill, voire tout simplement dans les écoles.
Après, l'aménagement de pistes cyclables serait une très bonne chose aussi."
Ville participative, Collaborative et Numérique;621- Des enquetes publiques plus transparentes;70;2;"Citoyens, nous souhaitons participer plus à la construction de la ville et de notre cadre de vie. Nous souhaitons plus de transparence et d'accessibilité lors des enquêtes publiques et avis d'urbanisme.

Concrètement cela signifierait:

- Des affiches moins administratives, vulgarisées et plus compréhensibles par tout un chacun. Avec des visuels

- Des affiches qui résistent mieux aux intempéries et qui ne donnent pas l'impression d'être abandonnées là depuis des mois.

- Les informations complètes  disponibles également en version digitale sur le site internet de la ville de Liège dans un inventaire des consultations publiques et avis d'urbanismes en cours. Avec carte de la ville et géolocalisation des projets.

- La possibilité de répondre à des formulaire en ligne

- La possibilité d'être tenu informé par notification sur son smartphone ou par email de toute enquête publique dans un périmètre défini par le citoyen lui-même.

- Des réunions signalées suffisamment longtemps à l'avance et e proposées en début de soirée après le travail.

Un projet facile à mettre en place grâce aux civic tech, au web et aux applications mobiles.
Un petit moyen parmi d'autres pour participer au renouveau de nos démocraties."
La végétalisation et l'agriculture urbaine;628- Créer un  jardin communautaire et un  parc;40;5;"ATELIER CITOYEN - Rocourt ( 5 mai)

Le long du Ravel, entre la Chaussée de Tongres et la Rue de Lantin, faire un vrai espace vert sécurisé (parc) à droite de la Chaussée de Tongres et un jardin communautaire à gauche vers la Rue de Lantin.  Liens intergénérationnels et ""vespachienne"" pour la propreté."
Des espaces verts, des espaces collectifs, des espaces apaisés;684 - Rendre attractifs Cadran  et rue Haute Sauvenière;73;1;"Le Cadran est une horreur et la rue Haute Sauvenière est devenue un chancre urbain. Tout cela à 200m du centre de la Ville, face au quartier St Michel – tout neuf tout beau – et avec vue sur le Palais des Princes Evêques (d´accord, encombrée par la passerelle du Palais de Justice . encore une riche idée).

Que pourrait-on faire pour améliorer le Cadran et la rue Haute Sauvenière.

Au Cadran, il est clair que réorganiser la circulation en la simplifiant, la limitant – y compris l autoroute prioritaire des bus totalement surdimensionnée – permettrait de lui rendre une taille humaine et inviterait à l´investir de plantations, de bancs, de sentiers, et pourquoi pas, d´un bar-guinguette avec terrasse donnant sur le palais. Je proposerais de favoriser (détaxer) toute initiative d´occupation de ce type. 
Bon, je rêve sans doute ! On vient de refaire le Cadran en plus complexe, plus voiture, plus bitume. N´empêche, c´est un trou noir urbain où il fait peur de se promener le soir. Honte au concepteur !

La rue Haute Sauvenière est un vrai désastre. Sa descente en enfer date déjà et rien ne semble s´arranger. Chapeau au resto ¨Chez Philippe¨ qui en haut de la rue fait front à la bourrasque depuis très longtemps, … et se développe favorablement ! Il y a là aussi un théatre-bouffe. Et des habitants.
Que pourrait-on faire ? Je n´ai aucune relation avec ses commerces existants ou potentiels, mais d´une part je leur poserais la question : ils ont leurs expériences. 
D´autre part j´opterais pour rendre cette rue piétonnière (avec les habituels accès réservés aux habitants et commerces) : est-ce donc utile de descendre par là en voiture ?
Enfin, je chercherais à trouver des activités (commerçantes ou semi publiques- la RW a ses bureaux dans le bas) qui occupent la rue, lui rende un attrait, invitent à la remonter pour qui est venu faire ses courses du côté St Lambert et St Michel. Expo ? Brocante ? Service public ? Café- terrasse ? La visite de la Collégiale vaudrait-elle le déplacement ? Un café terrasse au cadran aiderait ? Une gare à vélo attenante à Liége Palais ? Désenterrer les services SNCB et les poser en surface ?"
Art, Culture, Patrimoine, Tourisme;702-Reconstruire le Chœur de la Cathédrale;61;22;Reconstruire le Chœur de la Cathédrale Saint Lambert et sa flèche de 135 mètres. Le chœur sera laissé ouvert de toutes parts afin de permettre la poursuite des événements et spectacles.
La mobilité;719 - Navettes fluviales et pistes cyclables;171;7;"ATELIER CITOYENS Chênée - lundi 8 mai

Développer les navettes fluviales (+ souvent, - chères, accessibles aux vélos).

Plus de pistes cyclables (mieux adaptées) et plus de parking vélos.
Installer des parkings de délestage pour les voitures.

Plan de réflexion à 10 ans pour la mobilité."
La mobilité;727- Transports nocturnes;295;3;"ATELIER CITOYENS Angleur  - lundi 15 mai 

Créer des lignes de bus permettant aux ""fêtards"" et travailleurs de nuit de rentrer chez eux en toute sécurité ou encourager les ""Bobs""."
Art, Culture, Patrimoine, Tourisme;781 - Une statue de César Franck;60;7;Et dire qu'il n'existe aucune statue de César Franck dans les rues de Liège ! (Je ne parle pas ici de celles à l'intérieur du conservatoire) Ce compositeur est pourtant bien plus important que Grétry ou Ysaye. Il n'est pas trop tard pour bien faire !
Art, Culture, Patrimoine, Tourisme;787 - Donner une identité au Grand Curtius;34;12;"Le Grand Curtius se cherche une identité; pourquoi ne pas en faire un carrefour consacré aux enfants illustres de Liège (Del'Cour, Franck, Grétry, Ysaye, Simenon, les Dardenne, Nagelmackers, Gramme...) dont le but serait d'informer les touristes, mais aussi de les inciter à partir en ville sur les traces  de ces génies"
La végétalisation et l'agriculture urbaine;791 - Verdurisation des intérieurs des ilôts d'habitation;88;1;Les intérieurs des ilôts d'habitation (essentiellement ceux entourés de buildings) consistent essentiellement en des toitures plates noires (goudronnées).  Des incitants à la verdurisation des ilôts existants (toitures végétales, pose de bacs de fleurs, plantes grimpantes..), au mantien des derniers jardins de ces ilôts, des règles urbanistiques pour les nouvelles constructions devraient conduire à un  cadre de vie amélioré pour les habitants. Les toitures plates pourraient aussi être aménagées en lieux de vie (terrasses).
